\\gfs\Shares\00_全社共有\通信端末金額画像,2413181,38
\\gfs\Shares\00_全社共有\photo&Video/池田さんおめでとう20141224,3170389,20
\\gfs\Shares\00_全社共有\_old/CEミーティング,8524972,23
\\gfs\Shares\00_全社共有\gloopsit/00_error,8711785792,707
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報/◆過去ログ_競合タイトル,709955549,1987
\\gfs\Shares\00_全社共有\会社案内/セミナー用,2504769,6
\\gfs\Shares\00_全社共有\_old/01_software,44736211,10
\\gfs\Shares\00_全社共有\websocket-sharp/.git,16035725,87
\\gfs\Shares\00_全社共有\_old/2014.04.14_社外Study(Google),11467110400,5
\\gfs\Shares\00_全社共有\受渡フォルダ/東館,0,0
\\gfs\Shares\00_全社共有\方針発表資料/FY2014,7271062,13
\\gfs\Shares\00_全社共有\Webアプリケーション部_朝礼/2014Q4,33964301,8
\\gfs\Shares\00_全社共有\社員総会/2011,12892559,5
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報,73089454474,73901
\\gfs\Shares\00_全社共有\広報部/Studio_logo,36164103,276
\\gfs\Shares\00_全社共有\photo&Video/20131030ハロウィーン,1153514400,447
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報/アヴァロンの騎士,1996417982,2220
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報/神撃のバハムート,9325949178,14660
\\gfs\Shares\00_全社共有\方針発表資料/FY2015,12217543,23
\\gfs\Shares\00_全社共有\永年勤続表彰/2015年11月,0,0
\\gfs\Shares\00_全社共有\通信端末金額画像/検証端末修理申込書,170256,4
\\gfs\Shares\00_全社共有\ProjectRebirth,7387357435,1200
\\gfs\Shares\00_全社共有\社員総会/2012,30867027,8
\\gfs\Shares\00_全社共有\Study/2014,7095448,10
\\gfs\Shares\00_全社共有\photo&Video/SocialGameInfo,982105337,412
\\gfs\Shares\00_全社共有\photo&Video/20141031_gloopsハロウィン♪,2667302554,355
\\gfs\Shares\00_全社共有\photo&Video/20150320_ビジネスマナー研修,6002409192,70
\\gfs\Shares\00_全社共有\全社朝礼/FY2014,938892697,90
\\gfs\Shares\00_全社共有\永年勤続表彰/2015年8月,0,0
\\gfs\Shares\00_全社共有\Webアプリケーション部_朝礼/2015Q1,6084020,9
\\gfs\Shares\00_全社共有\_old/小説,11860500,6
\\gfs\Shares\00_全社共有\photo&Video/20151022_ハロウィン写真,1212457795,372
\\gfs\Shares\00_全社共有\photo&Video/gloops_イベント,22436975962,5358
\\gfs\Shares\00_全社共有\photo&Video/じゃんけん部,555188349,21
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報/細谷　一時,25864175,8
\\gfs\Shares\00_全社共有\広報部/10周年,1271084549,554
\\gfs\Shares\00_全社共有\広報部/峠チャンネル,3392877,1
\\gfs\Shares\00_全社共有\_old/svn_201108,6420418565,419904
\\gfs\Shares\00_全社共有\受渡フォルダ/2016_BBQ,249259008,59
\\gfs\Shares\00_全社共有\社員総会/2014,4092893,6
\\gfs\Shares\00_全社共有\Nativeアプリケーション部_朝礼/2015,506940694,130
\\gfs\Shares\00_全社共有\永年勤続表彰/2015年7月,0,0
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報/Spicemart_中国マーケットレポート,73870782,6
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報/【レポート】Browser Report,23517586,62
\\gfs\Shares\00_全社共有\_old/マニュアル,5249457,25
\\gfs\Shares\00_全社共有\Target,640642789,101
\\gfs\Shares\00_全社共有\_old/採用G,33841493,1
\\gfs\Shares\00_全社共有\photo&Video/フットサル,1034803249,520
\\gfs\Shares\00_全社共有\全社朝礼/FY2015,243075345,95
\\gfs\Shares\00_全社共有\.TemporaryItems/folders.502,0,0
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報/【レポート】Native Report,546555136,896
\\gfs\Shares\00_全社共有\Study/gLT,104026,4
\\gfs\Shares\00_全社共有\photo&Video/red_バトル動画,56654388,2
\\gfs\Shares\00_全社共有\社員総会/2016,5625015,2
\\gfs\Shares\00_全社共有\Study/Cavos_Study,40338521,26
\\gfs\Shares\00_全社共有\photo&Video/20160401_入社式,822982065,256
\\gfs\Shares\00_全社共有\プロダクトマーケティング部競合情報/神獄のヴァルハラゲート,728514516,830
\\gfs\Shares\00_全社共有\受渡フォルダ,15774619740,2442
\\gfs\Shares\00_全社共有\受渡フォルダ/_old,9856685003,1471
\\gfs\Shares\00_全社共有\受渡フォルダ/まんどうさん,277469184,5
